id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2019-13750,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-33294,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2129,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-36632,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-20225,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-19244,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-34969,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-41409,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-35737,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-3153,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-25219,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-10735,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-45078,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-9077,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2024-0232,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-0054,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2024-28834,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-32792,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-3515,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-5678,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2175,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3517,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-42012,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-4304,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-29499,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-37434,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2509,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-25236,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-4193,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-27043,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-47011,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-46143,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-33910,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-25587,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-20231,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-35496,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2522,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
