id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2011-3389,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2011-3374,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2022-27943,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2022-0563,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-31437,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2022-3219,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2018-6829,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2018-20796,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-50387,high,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-31439,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-4641,medium,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2024-2236,medium,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2019-1010025,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-50868,unknown,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2024-28834,medium,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-45853,critical,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2019-9192,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2019-1010022,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2019-1010023,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2013-4392,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2024-22365,medium,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2017-18018,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2024-28835,medium,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-4039,medium,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-31484,high,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-31486,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2019-1010024,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2005-2541,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-31438,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2010-4756,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2019-19882,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2016-2781,low,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2011-4116,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2007-5686,negligible,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-29383,low,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-50495,medium,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
CVE-2023-45918,unknown,docker.io,debian,latest,docker-official,1711138289.1971347,1711141309.693015
