id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2023-2176,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-25739,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52426,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2011-3374,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26602,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2016-8660,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-25062,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52434,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52620,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-6039,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52452,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2018-6829,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26582,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-23851,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2018-20796,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-22099,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-0597,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-44034,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26583,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-31083,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-44032,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2021-26934,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-1010025,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-45322,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52597,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-24859,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2017-16231,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26462,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2020-15719,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-50868,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-28834,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-6237,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-26242,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2017-7246,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2017-13694,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52485,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-24861,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2018-12928,low,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-11191,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26624,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-45885,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26586,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-6240,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2020-36694,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-45884,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-12455,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-1010022,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26640,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2013-4392,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2017-14159,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2017-18018,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-4039,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52594,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2020-36325,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52599,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-16232,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-31438,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2004-0230,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26622,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52429,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2017-7245,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-25740,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52591,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-23850,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-0160,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-1247,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52587,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26603,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-29383,low,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-24858,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26606,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26595,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-21803,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-2961,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-16234,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-1999-0678,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52600,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-28757,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-44033,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2022-4543,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52596,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-31085,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-31439,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-19814,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2011-4916,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26593,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-22386,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2015-3276,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52425,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2017-0630,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-26627,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-31081,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2011-4917,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52593,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-1999-1237,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-19070,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-52598,unknown,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2024-0841,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-47233,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2021-3864,high,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2007-6755,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2023-4133,medium,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
CVE-2019-12382,negligible,docker.io,httpd,latest,docker-official,1711138325.2147677,1711141246.0762556
