id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2016-20013,negligible,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-39318,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-29409,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-39319,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2024-2236,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-29402,critical,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-39323,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-29403,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-30635,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-39326,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-24532,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-45918,low,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-45285,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-1962,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-41715,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-28131,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-24536,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-30629,low,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2017-11164,negligible,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-41717,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-4899,low,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2024-26461,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-30631,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-41724,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-29406,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-1705,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-7008,low,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2023-44487,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-30580,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-41725,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2022-41723,high,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
CVE-2024-26462,medium,docker.io,mariadb,latest,docker-official,1711138327.4496932,1711141259.5478144
