id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
GHSA-xr7r-f8xq-vfvv,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-39318,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-29409,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
ELSA-2022-9221,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-9v9h-cgj8-h64p,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-29402,critical,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-39323,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-29403,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-3ww4-gg4f-jr7f,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-45285,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-1962,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-41715,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-30629,low,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-vpvm-3wq2-2wvm,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
ELSA-2022-9263,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-41724,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-30580,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-41725,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-45287,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-45289,unknown,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-2880,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-24534,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-30632,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2024-24784,unknown,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-32189,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-29400,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-jfhm-5ghh-2f97,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-24540,critical,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-6vqw-3v5j-54x4,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-24539,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-32148,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2024-24783,unknown,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-24537,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
ELSA-2024-12135,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-30630,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-45290,unknown,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-5xp3-jfq3-5q8x,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-39319,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-f3fp-gc8g-vw66,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-30635,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-39326,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-r9hx-vwmv-q579,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-24532,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-28131,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-24536,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-41717,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-30631,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-29406,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-45x7-px36-x8w8,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-1705,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-mq26-g339-26xf,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-44487,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-41723,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-27664,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-41722,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-29405,critical,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-29404,critical,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2024-24785,unknown,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
ELSA-2022-9564,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-30633,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2023-24538,critical,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-g2j6-57v7-gm8c,medium,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
CVE-2022-2879,high,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
GHSA-m8cg-xc2p-r3fc,low,docker.io,mysql,latest,docker-official,1711138305.5016887,1711141232.0469403
