id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2011-3389,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-52426,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2011-3374,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-1916,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2022-27943,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-52356,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2022-0563,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-25062,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-26461,unknown,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-52355,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-6277,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2022-3219,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-6129,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2018-6829,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2018-20796,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-5563,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-6228,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-50387,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-4641,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-2236,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2019-1010025,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-45322,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-26462,unknown,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-49460,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2020-15719,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-50868,unknown,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-28834,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-17973,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-6237,unknown,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-9117,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-3164,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-9937,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-16232,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-49464,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2019-1010022,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2010-0928,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-3618,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-2908,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2013-4392,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2019-1010023,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-14159,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-18018,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-4039,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2013-0337,low,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-3316,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-31486,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2017-17740,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-44487,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-31438,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-25269,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-25433,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2007-5686,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-29383,low,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-0727,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-29659,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-50495,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-39616,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-2953,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-28757,unknown,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-31437,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-26966,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2015-9019,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-31439,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2015-3276,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-26965,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-52425,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2018-10126,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-6879,critical,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-39615,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-32570,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2022-1210,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-45853,critical,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2007-6755,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-26458,unknown,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-49462,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2018-5709,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-49463,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2019-9192,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-1580,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-22365,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2024-28835,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-31484,high,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2019-1010024,negligible,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
CVE-2023-5678,medium,docker.io,nginx,latest,docker-official,1711138277.9594073,1711141242.8773148
