id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
ELSA-2022-9221,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2024-0647,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-6236,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-5455,high,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-5249,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-0842,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2024-0253,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-1569,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2024-0119,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2022-9263,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-3106,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-5837,high,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-3837,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-1405,high,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2024-0627,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-0837,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-3018,low,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-2963,low,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-12851,high,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-4524,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-3839,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-4529,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-1140,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-7112,low,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2024-0155,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-4523,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2022-9564,high,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2024-12135,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-12788,low,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2024-0628,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-7877,low,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
ELSA-2023-3840,medium,docker.io,openjdk,latest,docker-official,1711138305.277627,1711141219.359873
