id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2023-39318,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2011-3389,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2011-3374,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-27943,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-29409,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-0563,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-26461,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-25062,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-29403,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-29402,critical,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-39323,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-3219,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-6129,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-45285,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2018-6829,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-1962,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2018-20796,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-41715,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-50387,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2021-45346,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-4641,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-2236,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2019-1010025,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-45322,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-30629,low,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-26462,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2020-15719,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-50868,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-28834,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-41724,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-6237,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-30580,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-41725,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-45287,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2019-1010022,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-45289,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2010-0928,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-24534,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2019-1010023,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2013-4392,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-30632,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2017-14159,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-2880,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-24784,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-32189,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2017-18018,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-4039,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-31486,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2017-17740,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-31438,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-29400,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-24540,critical,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-32148,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-24539,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-24783,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-24537,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2007-5686,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-29383,low,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-0727,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-30630,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-50495,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-45290,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-2953,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-39319,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-31437,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-30635,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-7104,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-39326,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-24532,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2015-9019,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-31439,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-28131,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-24536,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2015-3276,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-41717,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-39615,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-30631,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-1705,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-29406,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-44487,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-0232,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2023-45853,critical,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-26458,unknown,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2007-6755,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-41723,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2018-5709,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2019-9192,negligible,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-27664,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2022-41722,high,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-22365,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
CVE-2024-28835,medium,docker.io,postgres,latest,docker-official,1711138277.9429605,1711141212.4654288
