id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2023-42364,medium,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-42363,medium,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-45289,unknown,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-39323,high,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2024-24783,unknown,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2024-24784,unknown,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2024-24785,unknown,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-39325,high,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-39326,medium,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-42365,medium,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-45290,unknown,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-45285,high,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-42366,medium,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
CVE-2023-44487,high,docker.io,registry,latest,docker-official,1711138290.9322343,1711141278.0402331
