id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2016-20013,negligible,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2024-26462,medium,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2016-2781,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2024-2236,medium,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2023-29383,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2023-50495,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2023-45918,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2024-26458,medium,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2022-27943,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2022-3219,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2017-11164,negligible,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2022-4899,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2024-26461,medium,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2023-7008,low,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2022-3715,medium,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
CVE-2020-22916,medium,docker.io,ubuntu,latest,docker-official,1711138296.3230977,1711141278.4607763
