id,min_remediated_days,num_matches,severity
CVE-2024-24787,16.63,1,unknown
CVE-2024-24788,16.63,1,unknown
CVE-2024-2961,22.58,5,unknown
GHSA-22q4-f5r6-3xqw,22.58,5,unknown
GHSA-24rp-q3w6-vc56,9.54,1,critical
GHSA-25w4-hfqg-4r52,17.33,4,medium
GHSA-2g68-c3qc-8985,14.83,1,high
GHSA-4h8f-2wvx-gg5w,26.67,2,low
GHSA-4v7x-pqxf-cx7m,22.88,12,medium
GHSA-84pr-m4jr-85g5,19.06,2,medium
GHSA-8xfc-gm6g-vgpv,15.67,4,medium
GHSA-f8h5-v2vg-46rr,34.08,1,high
GHSA-h75v-3vvj-5mfj,15.06,2,medium
GHSA-jjg7-2v4v-x38h,36.7,2,medium
GHSA-m44j-cfrm-g8qc,15.67,4,medium
GHSA-pxhw-596r-rwq5,36.67,1,low
GHSA-v435-xc8x-wvr9,15.67,4,medium
