id,image,component,severity,start_date,end_date,delta_days,min_remediated_days,status
GHSA-24rp-q3w6-vc56,cgr.dev/chainguard/mariadb:latest,Not Measured,critical,Not Observed,2024-04-06 17:02:16.137,NA,9.54,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/influxdb:latest,golang.org/x/net v0.22.0,medium,2024-04-20 05:01:34.252,2024-05-15 19:02:16.751,25.58,25.58,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/influxdb:latest,golang.org/x/net v0.19.0,medium,2024-04-20 05:01:34.252,2024-05-16 17:04:47.970,26.5,26.5,No Advisory
CVE-2024-2961,cgr.dev/chainguard/redis:latest,glibc 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,FIXED
GHSA-22q4-f5r6-3xqw,cgr.dev/chainguard/redis:latest,ld-linux 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
CVE-2024-2961,cgr.dev/chainguard/redis:latest,posix-libc-utils 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
CVE-2024-2961,cgr.dev/chainguard/redis:latest,glibc-locale-posix 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
GHSA-22q4-f5r6-3xqw,cgr.dev/chainguard/redis:latest,libcrypt1 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
CVE-2024-2961,cgr.dev/chainguard/redis:latest,ld-linux 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
GHSA-22q4-f5r6-3xqw,cgr.dev/chainguard/redis:latest,glibc-locale-posix 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
CVE-2024-2961,cgr.dev/chainguard/redis:latest,libcrypt1 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
GHSA-22q4-f5r6-3xqw,cgr.dev/chainguard/redis:latest,glibc 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,FIXED
GHSA-22q4-f5r6-3xqw,cgr.dev/chainguard/redis:latest,posix-libc-utils 2.39-r1,unknown,2024-04-22 05:04:59.380,2024-05-14 19:02:16.605,22.58,22.58,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/keda-admission-webhooks:latest,golang.org/x/net v0.19.0,medium,2024-04-24 16:03:52.100,2024-05-15 19:02:30.507,21.12,21.12,No Advisory
CVE-2024-24787,cgr.dev/chainguard/vault:latest,stdlib go1.22.2,unknown,2024-05-14 06:03:52.478,Not Observed,NA,16.63,No Advisory
CVE-2024-24788,cgr.dev/chainguard/vault:latest,stdlib go1.22.2,unknown,2024-05-14 06:03:52.478,Not Observed,NA,16.63,No Advisory
GHSA-84pr-m4jr-85g5,cgr.dev/chainguard/kubeflow-volumes-web-app:latest,flask-cors 4.0.0,medium,2024-05-03 05:03:42.733,2024-05-22 01:03:46.289,18.83,18.83,No Advisory
GHSA-h75v-3vvj-5mfj,cgr.dev/chainguard/kubeflow-volumes-web-app:latest,jinja2 3.1.3,medium,2024-05-07 05:02:58.234,2024-05-22 01:03:46.289,14.83,14.83,No Advisory
GHSA-2g68-c3qc-8985,cgr.dev/chainguard/kubeflow-volumes-web-app:latest,werkzeug 3.0.1,high,2024-05-07 05:02:58.234,2024-05-22 01:03:46.289,14.83,14.83,No Advisory
GHSA-jjg7-2v4v-x38h,cgr.dev/chainguard/kubeflow-volumes-web-app:latest,idna 3.6,medium,2024-04-12 05:05:17.280,2024-05-22 01:03:46.289,39.83,39.83,No Advisory
