,first_seen_at,remediated_at,registry,repository,tag,labels,id,severity,fix_state,component.name,component.version,component.type_,rtime
13,2024-05-29 05:01:26.574,,cgr.dev,chainguard/bash,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
14,2024-05-29 05:01:26.574,,cgr.dev,chainguard/bash,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
23,2024-05-29 05:01:36.614,,cgr.dev,chainguard/jre,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
45,2024-05-29 05:01:29.823,,cgr.dev,chainguard/k3s,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
155,2024-05-29 05:01:35.093,,cgr.dev,chainguard/node,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
156,2024-05-29 05:01:35.093,,cgr.dev,chainguard/node,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
176,2024-05-29 05:01:14.825,,cgr.dev,chainguard/nginx,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
177,2024-05-29 05:01:14.825,,cgr.dev,chainguard/nginx,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
190,2024-05-29 05:01:31.426,,cgr.dev,chainguard/mariadb,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
191,2024-05-29 05:01:31.426,,cgr.dev,chainguard/mariadb,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
214,2024-05-29 05:01:26.311,,cgr.dev,chainguard/ko,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
215,2024-05-29 05:01:26.311,,cgr.dev,chainguard/ko,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
237,2024-05-29 05:01:16.735,,cgr.dev,chainguard/python,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
238,2024-05-29 05:01:16.735,,cgr.dev,chainguard/python,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
249,2024-05-17 06:03:42.065,,cgr.dev,chainguard/ruby,latest,cgr-public,GHSA-vg3r-rm7w-2xgh,medium,fixed,rexml,3.2.6,gem,
250,2024-05-29 05:01:15.620,,cgr.dev,chainguard/ruby,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
251,2024-05-29 05:01:15.620,,cgr.dev,chainguard/ruby,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
299,2024-05-29 05:02:20.415,,cgr.dev,chainguard/wolfi-base,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
300,2024-05-29 05:02:20.415,,cgr.dev,chainguard/wolfi-base,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
323,2024-05-29 05:02:13.621,,cgr.dev,chainguard/redis,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
324,2024-05-29 05:02:13.621,,cgr.dev,chainguard/redis,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
333,2024-05-29 05:02:41.538,,cgr.dev,chainguard/wait-for-it,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
349,2024-05-29 05:02:20.766,,cgr.dev,chainguard/haproxy,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
350,2024-05-29 05:02:20.766,,cgr.dev,chainguard/haproxy,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
365,2024-05-29 05:02:10.634,,cgr.dev,chainguard/go,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
366,2024-05-29 05:02:10.634,,cgr.dev,chainguard/go,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
375,2024-05-29 05:02:42.681,,cgr.dev,chainguard/zookeeper,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
415,2024-05-29 05:02:20.629,,cgr.dev,chainguard/flux-kustomize-controller,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
416,2024-05-29 05:02:20.629,,cgr.dev,chainguard/flux-kustomize-controller,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
439,2024-05-29 05:02:25.624,,cgr.dev,chainguard/rust,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
440,2024-05-29 05:02:25.624,,cgr.dev,chainguard/rust,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
460,2024-05-14 06:03:52.478,,cgr.dev,chainguard/vault,latest,cgr-public,CVE-2024-24787,unknown,unknown,stdlib,go1.22.2,go-module,
461,2024-05-14 06:03:52.478,,cgr.dev,chainguard/vault,latest,cgr-public,CVE-2024-24788,unknown,unknown,stdlib,go1.22.2,go-module,
470,2024-05-29 05:02:27.623,,cgr.dev,chainguard/memcached,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
471,2024-05-29 05:02:27.623,,cgr.dev,chainguard/memcached,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
488,2024-05-29 05:02:30.060,,cgr.dev,chainguard/kubeflow-volumes-web-app,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
489,2024-05-29 05:02:30.060,,cgr.dev,chainguard/kubeflow-volumes-web-app,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
534,2024-05-29 05:02:35.620,,cgr.dev,chainguard/powershell,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
535,2024-05-29 05:02:35.620,,cgr.dev,chainguard/powershell,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
560,2024-05-29 05:02:41.619,,cgr.dev,chainguard/fluent-bit,latest,cgr-public,CVE-2024-4603,unknown,unknown,libssl3,3.3.0-r7,apk,
561,2024-05-29 05:02:41.619,,cgr.dev,chainguard/fluent-bit,latest,cgr-public,CVE-2024-4603,unknown,unknown,libcrypto3,3.3.0-r7,apk,
580,2024-05-04 05:03:43.904,,cgr.dev,chainguard/jenkins,latest,cgr-public,GHSA-4h8f-2wvx-gg5w,low,fixed,bcprov-jdk18on,1.77,java-archive,
581,2024-05-15 05:03:18.733,,cgr.dev,chainguard/jenkins,latest,cgr-public,GHSA-m44j-cfrm-g8qc,medium,fixed,bcpkix-jdk18on,1.77,java-archive,
582,2024-05-15 05:03:18.733,,cgr.dev,chainguard/jenkins,latest,cgr-public,GHSA-v435-xc8x-wvr9,medium,fixed,bcprov-jdk18on,1.77,java-archive,
583,2024-05-15 05:03:18.733,,cgr.dev,chainguard/jenkins,latest,cgr-public,GHSA-8xfc-gm6g-vgpv,medium,fixed,bcprov-jdk18on,1.77,java-archive,
584,2024-05-15 05:03:18.733,,cgr.dev,chainguard/jenkins,latest,cgr-public,GHSA-v435-xc8x-wvr9,medium,fixed,bcpkix-jdk18on,1.77,java-archive,
585,2024-05-15 05:03:18.733,,cgr.dev,chainguard/jenkins,latest,cgr-public,GHSA-8xfc-gm6g-vgpv,medium,fixed,bcpkix-jdk18on,1.77,java-archive,
