registry,repository,tag,rtime
cgr.dev,chainguard/python,latest,0.89586
cgr.dev,chainguard/k3s,latest,57.03046805555555
cgr.dev,chainguard/influxdb,latest,69.84929749999999
docker.io,amazonlinux,latest,89.30030314814815
cgr.dev,chainguard/helm,latest,110.87031083333333
cgr.dev,chainguard/dive,latest,110.89840694444445
cgr.dev,chainguard/flux,latest,110.903075
docker.io,memcached,latest,141.10947810211047
docker.io,haproxy,latest,141.48209187962962
docker.io,httpd,latest,144.93452792207793
docker.io,php,latest,145.8915184920635
docker.io,redis,latest,148.34063495621237
docker.io,zookeeper,latest,152.33317798611114
docker.io,wordpress,latest,155.0588628054403
docker.io,node,latest,156.52477958447176
docker.io,ruby,latest,156.62567779481935
docker.io,nextcloud,latest,157.34081943126924
docker.io,sonarqube,latest,162.3265862962963
registry.access.redhat.com,ubi8/ubi,latest,175.67869765151514
registry.access.redhat.com,ubi8/ubi-init,latest,175.81690512559103
registry.access.redhat.com,ubi8/nginx-122,latest,176.98463404383025
registry.access.redhat.com,ubi8/nodejs-20,latest,178.78171415688192
registry.access.redhat.com,ubi8/ruby-31,latest,179.93316731560083
registry.access.redhat.com,ubi8/python-311,latest,180.48560198696146
registry.access.redhat.com,ubi8/php-80,latest,180.54386618468212
docker.io,tomcat,latest,180.54827299603176
docker.io,maven,latest,181.16063340996172
registry.access.redhat.com,ubi8/go-toolset,latest,181.34570455919854
registry.access.redhat.com,ubi9/ubi-minimal,latest,185.77790224673203
registry.access.redhat.com,ubi8/openjdk-17,latest,187.23527599091878
registry.access.redhat.com,ubi9/nodejs-20-minimal,latest,187.55706802222224
docker.io,telegraf,latest,188.3851788164251
registry.access.redhat.com,ubi9/ruby-31,latest,188.7235933784643
docker.io,openjdk,latest,188.89179085271317
registry.access.redhat.com,ubi8/ubi-minimal,latest,189.18195706746033
registry.access.redhat.com,ubi8/nodejs-20-minimal,latest,189.26823856150793
docker.io,centos,latest,189.33764215873015
registry.access.redhat.com,ubi7/ruby-30,latest,189.77689446804064
registry.access.redhat.com,ubi7/python-38,latest,189.79677907327715
registry.access.redhat.com,ubi7/go-toolset,latest,189.95221016477842
registry.access.redhat.com,ubi9/python-311,latest,189.99229114720288
registry.access.redhat.com,ubi7/php-73,latest,190.00062247925496
registry.access.redhat.com,ubi8/dotnet-80-runtime,latest,190.0334334111111
registry.access.redhat.com,ubi9/nodejs-20,latest,190.05569937929553
registry.access.redhat.com,ubi8/dotnet-80,latest,190.19876470760232
registry.access.redhat.com,ubi9/go-toolset,latest,190.54870879509377
registry.access.redhat.com,ubi9/openjdk-17,latest,193.4774137136752
docker.io,mysql,latest,196.3953337204007
docker.io,ghost,latest,196.4521494108423
docker.io,debian,latest,196.67505147435895
registry.access.redhat.com,ubi9/ubi,latest,197.30501758614625
registry.access.redhat.com,ubi9/ubi-init,latest,197.32922719057666
docker.io,nginx,latest,197.89038764739226
registry.access.redhat.com,ubi9/nginx-120,latest,198.08887047472078
docker.io,influxdb,latest,198.46445770114946
cgr.dev,chainguard/busybox,latest,199.62759555555556
cgr.dev,chainguard/git,latest,199.632115625
docker.io,adminer,latest,199.64775729012348
docker.io,postgres,latest,200.07065217125384
registry.access.redhat.com,ubi7/ubi-minimal,latest,200.1025496785922
registry.access.redhat.com,ubi7/ubi,latest,200.43553365117523
registry.access.redhat.com,ubi7/ubi-init,latest,200.46309132860196
registry.access.redhat.com,ubi7/nginx-120,latest,200.60418919100974
docker.io,mongo,latest,201.39639555555556
docker.io,ubuntu/python,3.8-20.04_edge,201.73489661324786
docker.io,kong,latest,201.843790205314
docker.io,bash,latest,201.85388361111112
mcr.microsoft.com,dotnet/runtime,7.0-jammy-chiseled,201.86331972222223
docker.io,mariadb,latest,201.86867941077443
mcr.microsoft.com,dotnet/runtime-deps,7.0-jammy-chiseled,201.8692163888889
cgr.dev,chainguard/mariadb,latest,201.87176416666668
registry.access.redhat.com,ubi9/openssl,latest,201.8794997222222
mcr.microsoft.com,dotnet/aspnet,7.0-jammy-chiseled-extra,201.8806552777778
docker.io,ubuntu,latest,201.88067476608188
docker.io,eclipse-mosquitto,latest,201.88438666666667
docker.io,busybox,latest,201.88980166666667
registry.access.redhat.com,ubi9/ubi-micro,latest,201.8914938888889
mcr.microsoft.com,dotnet/aspnet,8.0-jammy-chiseled-extra,201.8972525
